category,sport,image,resolution,ordering,tags,series
baseball,kbo,https://polymarket-upload.s3.us-east-2.amazonaws.com/kbo-8cac2c2a6e.png,https://www.koreabaseball.com/,away,"1,100639,678,102668",10370
ice_hockey,shl,https://polymarket-upload.s3.us-east-2.amazonaws.com/hockey-shl-5ebf2bfd88.png,https://www.eliteprospects.com/league/shl,home,"1,899,100088,102906",10695
ice_hockey,cehl,https://polymarket-upload.s3.us-east-2.amazonaws.com/hockey-cehl-224d6e08ff.png,https://www.hokej.cz/tipsport-extraliga,home,"1,100639,100088,102910",10702
ice_hockey,dehl,https://polymarket-upload.s3.us-east-2.amazonaws.com/hockey-dehl-c1841cef09.png,https://www.penny-del.org/en/del/schedule-and-results.html,home,"1,100639,100088,102909",10701
ice_hockey,snhl,https://polymarket-upload.s3.us-east-2.amazonaws.com/hockey-snhl-b92d9c89b1.png,https://www.nationalleague.ch/,home,"1,100639,100088,100642",102911
ice_hockey,khl,https://polymarket-upload.s3.us-east-2.amazonaws.com/hockey-khl-a7c05698f3.png,https://en.khl.ru/calendar/,home,"1,100639,100088,102908",10700
ice_hockey,ahl,https://polymarket-upload.s3.us-east-2.amazonaws.com/hockey-ahl-08180d2ef0.png,https://theahl.com/stats/schedule,away,"1,100639,100088,102907",10699
cricket,crint,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102803",10528
basketball,cbb,https://polymarket-upload.s3.us-east-2.amazonaws.com/ncaab1.png,https://www.ncaa.com/,away,"1,101178,100639,101954",10470
cricket,craus,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102946",10752
cricket,creng,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102944",10750
cricket,crnew,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102949",10755
cricket,crind,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102943",10748
cricket,crsou,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102947",10753
cricket,crpak,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102945",10751
cricket,cruae,https://polymarket-upload.s3.us-east-2.amazonaws.com/cricket-ball-a0b0bf2dc9.png,https://www.icc-cricket.com/,home,"1,100639,517,102948",10754
esports,hok,https://polymarket-upload.s3.us-east-2.amazonaws.com/honor-of-kings-fb99edf26f.jpg,https://liquipedia.net/honorofkings/Main_Page,home,"1,64,102757,100639",10434
esports,wildrift,https://polymarket-upload.s3.us-east-2.amazonaws.com/lol-wild-rift-3d35201677.jpg,https://liquipedia.net/wildrift/Main_Page,home,"1,64,102752,100639",10429
esports,sc2,https://polymarket-upload.s3.us-east-2.amazonaws.com/sc2-da9943f1dd.jpg,https://liquipedia.net/starcraft2/Main_Page,home,"1,64,102758,100639",10435
esports,sc,https://polymarket-upload.s3.us-east-2.amazonaws.com/sc2-bw-35ef47117d.jpg,https://liquipedia.net/starcraft/Main_Page,home,"1,64,102759,100639",10436
